carat,cut,color,clarity,depth,table,price,x,y,z
0.75,Premium,E,SI1,62.8,56,2698,5.78,5.75,3.62
0.54,Ideal,E,VS2,61.6,59,1695,5.21,5.24,3.22
0.55,Ideal,E,SI1,61.7,56,1668,5.29,5.24,3.25
0.92,Very Good,J,VS2,60.9,62,3146,6.26,6.31,3.83
1.07,Premium,G,VVS2,61.6,57,7593,6.59,6.55,4.05
2.01,Ideal,I,SI1,61.4,57,16562,8.13,8.19,5.01
0.38,Premium,D,SI1,62.2,58,733,4.57,4.63,2.86
1,Very Good,E,SI2,63.3,55,4390,6.29,6.25,3.97
0.7,Fair,H,VS2,64.9,56,1981,5.49,5.51,3.57
0.3,Ideal,H,VS2,62.3,54,491,4.31,4.36,2.7
0.51,Ideal,E,SI1,62,55,1443,5.14,5.12,3.18
0.36,Premium,G,SI1,61.8,59,537,4.55,4.57,2.82
0.33,Ideal,D,VVS1,61,55,1100,4.47,4.52,2.74
1.97,Premium,F,SI2,61.1,58,14542,8.11,8.05,4.94
0.32,Very Good,G,VS1,62.8,58,645,4.34,4.39,2.74
0.6,Good,E,SI1,62.7,60.1,1863,5.31,5.36,3.35
1.17,Premium,F,VS2,60.2,58,8256,6.88,6.85,4.13
0.7,Very Good,F,SI1,63.2,57,2423,5.68,5.62,3.57
0.59,Fair,H,SI2,64.5,57,1059,5.37,5.16,3.42
0.86,Ideal,I,VS2,62.1,57,3121,6.1,6.07,3.78
0.37,Very Good,H,VVS1,61.9,55,774,4.6,4.66,2.86
0.39,Very Good,H,VVS2,62.4,57,784,4.67,4.7,2.92
0.6,Ideal,F,SI1,61.5,58,1646,5.38,5.41,3.32
0.42,Good,F,SI2,64.1,56,646,4.76,4.72,3.04
0.35,Fair,D,VVS2,53.2,62,1011,4.87,4.8,2.57
0.91,Ideal,H,SI2,60.3,57,3363,6.31,6.27,3.79
0.7,Ideal,D,SI1,61,59,2804,5.68,5.7,3.47
0.82,Ideal,F,SI2,61.7,53,2867,6.12,6,3.74
0.3,Very Good,D,VS2,62.8,59,710,4.26,4.28,2.68
0.7,Very Good,E,VS1,63.6,57,3154,5.61,5.65,3.58
0.9,Very Good,H,VVS2,62.4,58,4740,6.12,6.15,3.83
0.4,Premium,D,SI2,60,58,855,4.84,4.8,2.89
0.57,Ideal,G,VS2,61.6,57,1728,5.36,5.32,3.29
1.05,Ideal,J,VS1,62.8,57,4116,6.45,6.41,4.04
0.48,Premium,H,SI2,58.5,59,972,5.16,5.13,3.01
0.7,Premium,F,VS2,59.4,61,2838,5.83,5.79,3.45
1.36,Good,F,SI1,57.5,60,7197,7.36,7.31,4.22
0.34,Ideal,E,VS2,62.2,57,829,4.46,4.42,2.76
0.96,Very Good,I,VS2,59.6,59,4187,6.36,6.42,3.81
1,Premium,G,VVS2,59.5,61,7589,6.46,6.42,3.83
0.35,Good,J,SI1,63.3,56,409,4.5,4.53,2.86
1.5,Good,H,VS1,63.4,59,10256,7.2,7.29,4.59
0.36,Ideal,E,VS2,61.3,56,718,4.59,4.61,2.82
0.42,Very Good,E,VVS2,62.1,56,1167,4.79,4.82,2.98
0.76,Premium,H,SI2,59,59,1985,6.05,6.02,3.56
0.47,Ideal,D,VS1,61,55,1617,5.03,5.01,3.06
0.34,Very Good,D,SI1,59.6,59,626,4.55,4.57,2.72
0.34,Premium,E,VS1,58,60,757,4.63,4.61,2.68
0.59,Premium,D,VS1,61.9,58,2326,5.37,5.32,3.31
0.59,Very Good,F,IF,59.9,63,2632,5.44,5.47,3.27
0.52,Very Good,H,VS2,63.5,58,1385,5.12,5.11,3.25
0.41,Very Good,E,VVS1,61.2,62,1184,4.76,4.78,2.92
0.53,Ideal,H,VVS1,61.1,57,2154,5.22,5.25,3.2
1.02,Ideal,G,I1,61.5,56,3321,6.46,6.49,3.98
1.5,Ideal,I,I1,61.3,57,5695,7.39,7.36,4.52
0.59,Very Good,E,VS2,61.7,60,1857,5.36,5.4,3.32
0.3,Ideal,E,IF,61.1,57,957,4.31,4.33,2.64
2.01,Very Good,F,SI2,60.3,60,16728,8.08,8.11,4.88
0.34,Premium,G,VS1,60.4,61,880,4.53,4.48,2.72
0.53,Good,E,SI2,63.2,54,1141,5.16,5.19,3.27
0.36,Premium,F,VS2,59.4,56,905,4.71,4.69,2.79
0.81,Very Good,I,VS1,63.2,59,2655,5.9,5.84,3.71
0.31,Premium,D,IF,60.2,59,1167,4.39,4.42,2.65
0.55,Ideal,D,VS1,61.8,55,2119,5.29,5.32,3.28
0.4,Good,G,IF,59.7,62,1120,4.75,4.8,2.85
1.46,Premium,G,VS1,62.3,58,12261,7.25,7.2,4.5
0.38,Ideal,F,SI1,60.4,57,844,4.7,4.74,2.85
0.4,Very Good,E,SI2,62.9,58,666,4.7,4.74,2.97
1.01,Good,G,SI1,64.3,55,3733,6.34,6.31,4.07
0.43,Premium,D,SI2,62.6,58,919,4.82,4.79,3.01
0.32,Ideal,E,VS2,61.4,57,780,4.46,4.4,2.72
1.19,Ideal,F,VS2,62,57,8415,6.78,6.76,4.2
0.41,Very Good,D,VVS2,61.2,62,1295,4.78,4.82,2.94
0.28,Very Good,D,VVS1,60.6,58,642,4.23,4.25,2.57
1.53,Very Good,I,VS2,62.8,59,9802,7.27,7.31,4.58
1.69,Good,G,VS1,58.1,58,17338,7.8,7.84,4.54
0.41,Ideal,H,VS2,61.3,56,941,4.81,4.84,2.96
1.14,Premium,H,VS1,62,62,5809,6.74,6.65,4.15
1.17,Good,H,SI2,63.8,58,4914,6.73,6.57,4.24
0.73,Ideal,G,SI2,61.8,56,2585,5.76,5.83,3.58
0.29,Ideal,F,VVS1,60.9,57,669,4.29,4.32,2.62
0.3,Ideal,G,VS1,61.8,56,624,4.31,4.33,2.67
1.01,Premium,F,VS2,62.3,58,6271,6.34,6.3,3.94
0.32,Very Good,F,VVS1,62.7,60,926,4.32,4.35,2.72
0.74,Very Good,H,VS2,62.9,57,2451,5.73,5.78,3.62
0.31,Ideal,F,VS2,62.3,57,625,4.3,4.34,2.69
0.4,Very Good,D,SI1,63.3,57,924,4.71,4.68,2.97
1.3,Ideal,G,VVS2,62,57,11175,7.03,6.96,4.34
1,Premium,D,SI1,62.5,59,5775,6.32,6.38,3.97
0.79,Very Good,E,SI1,63.2,56,3053,5.91,5.83,3.71
1,Very Good,D,VS1,60.5,59,8077,6.43,6.46,3.9
0.77,Premium,J,SI1,61.8,59,2010,5.86,5.82,3.61
0.31,Very Good,E,SI1,63.1,54,698,4.34,4.31,2.73
0.9,Good,F,VS2,62.7,59,4493,6.1,6.14,3.84
0.42,Ideal,G,VVS1,60.6,56,1179,4.86,4.88,2.95
0.74,Very Good,E,VVS2,61.9,59,3616,5.74,5.77,3.56
1.01,Premium,E,VS2,60.4,58,6787,6.51,6.47,3.92
0.52,Ideal,G,VVS1,61,57,1969,5.18,5.2,3.17
0.7,Ideal,E,SI2,62.2,56,2560,5.67,5.64,3.52
1.7,Premium,F,VS2,62.8,58,18251,7.61,7.54,4.76
1.02,Premium,F,SI2,61.5,58,4459,6.42,6.49,3.97
0.42,Very Good,G,SI1,61.7,55,916,4.78,4.81,2.96
1.9,Premium,G,SI2,63,58,13919,7.93,7.86,4.97
1.06,Ideal,G,SI2,61,57,4662,6.61,6.56,4.02
0.58,Ideal,D,SI2,62.7,56,1442,5.32,5.3,3.33
0.3,Good,E,VVS2,59.5,59,622,4.35,4.39,2.6
0.55,Ideal,G,VS1,62.2,54.3,2025,5.24,5.27,3.27
0.4,Premium,F,VS1,62.6,58,1050,4.72,4.68,2.94
0.54,Ideal,I,VS2,61.9,56,1260,5.2,5.26,3.24
0.7,Ideal,F,SI1,62.6,55,2410,5.67,5.7,3.56
0.4,Premium,G,SI1,59.2,61,900,4.81,4.78,2.84
0.34,Premium,I,SI1,60,58,459,4.51,4.55,2.72
1.09,Premium,H,VS2,61.2,58,5005,6.63,6.58,4.03
0.36,Premium,F,SI1,61.1,59,600,4.55,4.59,2.79
0.36,Very Good,D,SI1,60.1,57,663,4.62,4.66,2.79
0.83,Premium,E,SI1,58.4,59,3506,6.22,6.18,3.62
0.9,Good,E,SI2,63,58,3736,6.08,6.11,3.84
0.52,Ideal,G,VVS2,62.1,57,1932,5.15,5.13,3.19
2.09,Premium,F,SI2,61.2,57,12377,8.26,8.21,5.04
0.87,Ideal,H,SI2,63,57,2307,6.07,6.02,3.81
0.31,Premium,F,VS2,62.7,59,802,4.34,4.3,2.71
0.91,Very Good,H,SI1,59.2,60,3998,6.3,6.41,3.76
1.51,Ideal,G,VS2,62.1,54,12551,7.34,7.31,4.55
2.02,Good,I,SI2,58.2,57,14027,8.31,8.35,4.85
1,Premium,G,VS2,60.8,58,5242,6.44,6.4,3.9
0.41,Premium,G,VS2,62.4,58,827,4.72,4.76,2.96
0.46,Ideal,J,VVS1,62.5,56,953,4.89,4.93,3.07
0.41,Very Good,D,SI1,60.3,63,920,4.8,4.78,2.89
2.18,Premium,H,SI2,62.3,59,11579,8.37,8.26,5.18
0.5,Very Good,E,VVS2,62.4,55,2275,5.08,5.11,3.18
0.7,Very Good,H,VS1,62.8,58,2389,5.59,5.69,3.54
2.02,Premium,J,SI2,59.7,56,9728,8.18,8.13,4.87
0.7,Ideal,I,VS1,61.8,55,2469,5.67,5.72,3.52
0.72,Ideal,I,VS2,61.6,55,2312,5.76,5.78,3.55
0.52,Premium,F,SI2,61.7,58,1219,5.16,5.12,3.17
1.04,Ideal,G,SI2,61.4,57,4375,6.48,6.54,4
0.32,Ideal,E,VS2,62.1,56,702,4.38,4.41,2.73
1.51,Premium,D,SI1,61.6,57,12738,7.41,7.32,4.54
0.33,Premium,G,VS1,61.8,59,666,4.39,4.45,2.73
0.7,Fair,G,VS1,57.1,62,2553,5.89,5.94,3.38
0.3,Ideal,H,VVS1,62,56,636,4.31,4.34,2.68
0.52,Ideal,F,SI1,62.2,54,1223,5.19,5.23,3.24
0.32,Very Good,G,VS1,63.2,55,828,4.39,4.37,2.77
1.63,Ideal,I,VS2,61.8,56,11963,7.56,7.59,4.68
1.2,Premium,F,SI1,62.4,58,6250,6.81,6.75,4.23
1.29,Good,D,SI2,57.9,59,6140,7.22,7.18,4.17
0.3,Premium,G,VVS2,61.2,59,878,4.35,4.31,2.65
0.4,Ideal,F,VVS2,61.7,55,1088,4.74,4.76,2.93
0.32,Ideal,E,VS2,62,57,900,4.41,4.37,2.72
1.23,Ideal,E,VVS2,59.9,57,13034,6.95,7.03,4.19
1.23,Ideal,H,VS2,61.7,56,7687,6.92,6.88,4.26
0.31,Premium,F,VS2,60.8,60,625,4.34,4.37,2.65
0.32,Ideal,D,VS2,61.8,55,657,4.41,4.43,2.73
0.5,Good,G,VS2,63.2,57,1410,4.99,5.04,3.17
0.59,Premium,H,SI1,62.2,59,1106,5.38,5.32,3.33
0.31,Premium,G,VS2,61.7,58,698,4.34,4.32,2.67
1.5,Good,I,VS2,61.9,60,8316,7.25,7.28,4.5
1.28,Ideal,H,SI2,62.8,57,6451,6.92,6.87,4.33
1.53,Premium,H,VS2,59.8,58,10224,7.49,7.52,4.49
0.32,Premium,F,VS2,59.5,60,773,4.48,4.46,2.66
0.72,Fair,F,SI1,64.8,55,2691,5.64,5.6,3.64
1.1,Very Good,F,VS2,61.1,57,6987,6.65,6.71,4.08
1,Premium,F,SI1,60.3,61,4704,6.43,6.38,3.86
0.41,Ideal,E,VS2,62,56,999,4.79,4.72,2.95
1.03,Premium,G,VS1,62.1,59,6479,6.48,6.4,4
1.14,Premium,D,SI2,62.6,58,4520,6.64,6.58,4.14
0.8,Premium,H,SI1,61.5,58,2760,5.97,5.93,3.66
0.42,Premium,E,VS1,62.2,59,1105,4.76,4.79,2.97
0.8,Premium,E,SI2,60.2,57,2829,6.05,6.01,3.63
0.27,Very Good,E,VS2,59.5,56,470,4.2,4.31,2.53
0.33,Very Good,D,SI1,62.8,56,608,4.39,4.43,2.77
0.33,Ideal,I,VVS1,62.2,54,646,4.43,4.45,2.76
1.12,Ideal,H,SI1,60.7,56,5457,6.74,6.7,4.08
1.01,Premium,G,SI1,61.3,59,5006,6.48,6.44,3.96
0.92,Good,H,VS2,63.4,57,4247,6.11,6.17,3.89
1.08,Ideal,G,SI2,62.3,56,4489,6.53,6.57,4.08
1.6,Premium,H,SI1,62.1,60,9017,7.54,7.49,4.66
0.53,Ideal,G,VVS1,62.1,56,1958,5.19,5.21,3.23
0.3,Ideal,F,VS2,62.9,57,776,4.29,4.26,2.69
0.52,Ideal,D,SI1,62.2,54,1429,5.14,5.18,3.21
2.41,Ideal,I,SI2,62.5,57,16987,8.57,8.51,5.34
0.7,Ideal,G,VVS1,62.3,57,3123,5.61,5.65,3.51
0.39,Good,E,VVS2,61.5,61,943,4.73,4.74,2.91
1.01,Very Good,H,SI1,63.4,58,4642,6.38,6.34,4.03
0.59,Ideal,E,VVS1,62,56,2829,5.36,5.38,3.33
0.3,Ideal,H,SI1,62.2,57,450,4.26,4.29,2.66
1,Good,G,VS2,63.4,57,5702,6.27,6.31,3.99
1.2,Very Good,G,SI2,63.1,57,5609,6.68,6.79,4.25
0.56,Ideal,G,SI1,61.2,59,1322,5.26,5.32,3.24
1.77,Very Good,I,VS2,60.2,58,13691,7.88,7.83,4.73
0.73,Premium,I,VS1,61.8,62,2197,5.78,5.72,3.55
1.04,Ideal,F,SI1,62.1,56,4426,6.54,6.47,4.04
0.52,Premium,D,VS2,61.2,58,1919,5.2,5.16,3.17
0.3,Very Good,G,SI1,59.7,60,447,4.35,4.39,2.61
0.33,Ideal,I,VVS2,62.4,57,579,4.41,4.44,2.76
2.03,Premium,F,SI1,61.3,59,17803,8.15,8.22,5.02
1.73,Very Good,G,VS1,62.8,57,15014,7.57,7.72,4.8
0.76,Ideal,G,VVS1,62,54.7,3671,5.83,5.87,3.62
0.7,Ideal,E,SI1,61.9,56,3330,5.7,5.73,3.54
0.74,Premium,H,VS2,62.1,56,2532,5.83,5.79,3.61
1.06,Ideal,G,VS2,62.3,56,7255,6.49,6.54,4.06
0.4,Premium,E,SI1,62.8,59,945,4.69,4.64,2.93
0.78,Very Good,G,SI1,63.3,56,2721,5.83,5.86,3.7
0.56,Ideal,E,VVS2,62.1,57,2622,5.26,5.3,3.28
0.73,Premium,H,VS2,61,58,2496,5.76,5.84,3.54
0.3,Ideal,E,VS2,62.1,55,658,4.28,4.32,2.67
1.27,Very Good,H,VS2,59.2,58,7176,7.07,7.15,4.21
1,Premium,D,SI2,60.3,58,4295,6.48,6.45,3.9
0.49,Very Good,F,VVS1,62.2,56,1952,5.04,5.08,3.14
0.31,Ideal,G,SI1,62.8,55,593,4.38,4.32,2.73
0.71,Premium,G,VS2,60.3,60,2671,5.76,5.81,3.49
0.8,Premium,J,SI2,60.2,59,2022,6.07,5.95,3.62
0.32,Premium,G,VS2,60.2,57,720,4.45,4.42,2.67
0.72,Ideal,D,VS1,61.6,56,3554,5.8,5.73,3.55
0.78,Ideal,H,SI2,61.9,54,2012,5.89,5.85,3.63
1.05,Good,E,I1,64.1,58,2066,6.46,6.32,4.09
2,Very Good,H,SI2,61,57,14340,8.02,8.18,4.94
0.7,Very Good,I,VS1,62.2,57,2332,5.69,5.72,3.55
0.68,Good,F,SI1,58.1,60,2074,5.8,5.91,3.4
0.73,Ideal,E,VS2,62.7,56,3077,5.75,5.8,3.62
1.25,Ideal,F,VVS1,62.2,56,12698,6.93,6.89,4.3
0.51,Premium,D,VS2,60.9,58,1716,5.18,5.14,3.14
0.4,Premium,E,SI1,62,61,882,4.71,4.67,2.91
1.12,Ideal,G,VS1,61,56,7632,6.76,6.72,4.11
0.42,Ideal,H,SI1,62.4,57,898,4.79,4.76,2.98
1.11,Premium,J,VS2,62.6,59,4265,6.6,6.56,4.12
0.55,Ideal,F,SI1,62.4,55,1410,5.23,5.28,3.28
1.02,Premium,G,VVS2,62.2,60,7602,6.39,6.43,3.99
0.31,Premium,I,SI1,62.8,60,537,4.31,4.29,2.7
0.73,Ideal,H,SI2,62.3,56,2278,5.78,5.72,3.58
0.9,Good,E,SI1,63.9,55,4463,6.08,6.13,3.9
1,Fair,H,SI2,65.2,54,2912,6.3,6.22,4.08
0.33,Ideal,D,VS1,61,56,839,4.45,4.47,2.72
0.82,Very Good,E,VS2,62.8,59,4135,5.92,5.93,3.72
0.33,Good,D,SI2,63.3,53,492,4.39,4.42,2.79
1.11,Ideal,E,SI2,61.4,58,5938,6.63,6.66,4.08
0.33,Premium,E,SI1,60.7,57,743,4.47,4.43,2.7
1.07,Premium,F,SI2,61.8,59,4560,6.53,6.57,4.05
0.92,Ideal,J,SI1,61.7,57,3181,6.21,6.26,3.85
1.51,Ideal,H,VS2,62.4,56,12219,7.33,7.28,4.56
0.43,Ideal,G,VS1,61.2,57,880,4.83,4.88,2.97
0.32,Premium,J,SI1,62.2,59,365,4.37,4.41,2.73
0.27,Ideal,I,VS1,62,56,432,4.16,4.19,2.59
0.3,Ideal,H,VVS2,60.8,58,590,4.33,4.38,2.65
0.9,Good,G,SI2,64.1,63,3246,6.02,5.99,3.85
0.31,Ideal,F,VVS1,61.8,56,884,4.33,4.37,2.69
0.42,Ideal,E,VVS2,61.8,56,1273,4.8,4.78,2.96
1.27,Ideal,J,SI2,62.6,57,4693,6.85,6.88,4.3
0.33,Ideal,E,VS1,61.6,56,1002,4.46,4.43,2.74
0.33,Premium,E,VS2,61.9,58,804,4.47,4.42,2.75
0.92,Premium,D,SI1,62.3,58,4350,6.21,6.27,3.89
0.39,Ideal,E,VS1,62.3,57,1097,4.67,4.64,2.9
0.52,Premium,F,SI1,58.6,61,1338,5.3,5.28,3.1
0.64,Ideal,E,SI1,60.9,57,2215,5.56,5.58,3.39
1.01,Premium,G,SI2,60.6,59,3981,6.49,6.41,3.91
0.35,Ideal,D,VS2,62.1,54,777,4.54,4.58,2.83
0.53,Ideal,I,IF,62.1,55,1654,5.18,5.22,3.23
0.38,Very Good,I,VS2,61.7,56,680,4.65,4.68,2.88
1.1,Very Good,I,VS1,61,59,4878,6.65,6.67,4.06
0.25,Very Good,F,VVS2,61.8,58,575,4.05,4.07,2.51
0.37,Very Good,G,SI2,63.4,57,624,4.57,4.55,2.89
0.31,Ideal,I,VS1,61.9,54,461,4.33,4.36,2.69
0.58,Premium,D,VS1,59.2,60,2401,5.46,5.41,3.22
0.9,Premium,F,VS1,59,58,4687,6.33,6.29,3.72
0.34,Ideal,E,VS2,62.6,55,956,4.45,4.43,2.78
0.41,Ideal,G,VS2,62.7,56,827,4.71,4.76,2.97
1.01,Good,F,VS2,63.1,59,5817,6.31,6.37,4
1.07,Ideal,G,SI1,61.7,54,5532,6.59,6.61,4.07
0.4,Very Good,J,VS1,63,58,631,4.66,4.7,2.95
0.27,Very Good,F,VVS1,61.8,56,682,4.15,4.17,2.57
1.25,Very Good,E,VS1,61.5,59,10285,6.91,6.95,4.26
1.09,Ideal,G,VVS2,61.5,55,8057,6.66,6.61,4.08
1.01,Good,I,SI1,64.1,59,3676,6.24,6.21,3.99
0.7,Good,F,SI1,57.9,63,2190,5.8,5.84,3.37
1.01,Very Good,D,VVS1,62.8,57,13312,6.36,6.41,4.01
0.32,Premium,I,SI1,61.1,59,540,4.42,4.38,2.69
